Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,,,,,,,,,,,,188,10196.651831964435,2912.911582711134,1390.012572463027
,,,,,,,,,,,,,,,,,,,189,9932.841945288756,2836.9660320126623,1354.0381277407632
,,,,,,,,,,,,,,,,,,,190,9504.150879440778,2714.054153908556,1296.0793001326713
,,,,,,,,,,,,,,,,,,,191,9177.386360717497,2621.1207826591103,1251.1112442298415
,,,,,,,,,,,,,,,,,,,192,8424.928615767554,2406.2748168673797,1148.18436071892
,,,,,,,,,,,,,,,,,,,193,7860.335487086654,2244.390879852215,1071.2390206185225
,,,,,,,,,,,,,,,,,,,194,7593.527760789664,2168.445329153743,1035.2645758962587
,,,,,,,,,,,,,,,,,,,195,7496.597613033828,2141.464672984549,1022.2738041909967
,,,,,,,,,,,,,,,,,,,196,7523.578169625658,2148.459657917303,1025.2716745845187
,,,,,,,,,,,,,,,,,,,197,7762.406059457047,2217.4102236830213,1058.2482489132606
,,,,,,,,,,,,,,,,,,,198,8490.881087436474,2425.261204541998,1157.177971899486
,,,,,,,,,,,,,,,,,,,199,9819.923319552576,2803.989674472536,1339.0487757731532
,,,,,,,,,,,,,,,,,,,200,10481.446595989313,2992.854267656895,1428.9848875788127
,,,,,,,,,,,,,,,,,,,201,10574.379624250061,3019.8349238260885,1441.9756592840747
,,,,,,,,,,,,,,,,,,,202,10518.419951318858,3003.8463868369363,1433.9813382346827
,,,,,,,,,,,,,,,,,,,203,10490.440114853256,2995.8521183423604,1429.9841777099866
,,,,,,,,,,,,,,,,,,,204,10397.507086592504,2968.8714621731665,1416.9934060047246
,,,,,,,,,,,,,,,,,,,205,10212.640309944778,2916.9087169584222,1392.0111527253748
,,,,,,,,,,,,,,,,,,,206,10069.743287995452,2875.9380909237207,1373.024640233069
,,,,,,,,,,,,,,,,,,,207,9890.872190590353,2824.9746292707982,1348.042386953719
,,,,,,,,,,,,,,,,,,,208,9817.924759805033,2802.9903909107143,1338.0494856419791
,,,,,,,,,,,,,,,,,,,209,10122.705121305342,2890.9273443510506,1380.019671151287
,,,,,,,,,,,,,,,,,,,210,11086.010919621072,3165.7303238521013,1511.9259684662543
,,,,,,,,,,,,,,,,,,,211,11363.81072452955,3245.6730087978613,1548.899703319692
,,,,,,,,,,,,,,,,,,,212,11082.013800125987,3164.7310402902785,1510.9266783350804
,,,,,,,,,,,,,,,,,,,213,10594.365221725493,3025.8306251970203,1443.9742395464227
,,,,,,,,,,,,,,,,,,,214,9834.912517659148,2808.9860922816465,1341.0473560355013
,,,,,,,,,,,,,,,,,,,215,8921.570713031993,2547.1737990842817,1216.1360896387519
,,,,,,,,,,,,,,,,,,,216,8089.170578180331,2310.343594932467,1103.2163048160905
,,,,,,,,,,,,,,,,,,,217,7564.548644450289,2160.451060659167,1031.267415371563
,,,,,,,,,,,,,,,,,,,218,7290.745959036898,2081.5076592752293,993.2943903869509
,,,,,,,,,,,,,,,,,,,219,7181.824452795804,2051.529152420569,978.305038419341
,,,,,,,,,,,,,,,,,,,220,7195.814371028605,2054.5270031060354,981.3029088128629
,,,,,,,,,,,,,,,,,,,221,7435.641540733765,2123.477568871753,1013.2801930104309
,,,,,,,,,,,,,,,,,,,222,8191.097125305022,2339.322818225306,1116.2070765213523
,,,,,,,,,,,,,,,,,,,223,9537.12711527524,2723.0477059649543,1300.0764606573673
,,,,,,,,,,,,,,,,,,,224,10210.641750197236,2915.9094333966004,1392.0111527253748
,,,,,,,,,,,,,,,,,,,225,10281.590621235011,2936.8943881948626,1402.0040540371149
,,,,,,,,,,,,,,,,,,,226,10289.584860225183,2937.8936717566844,1402.0040540371149
,,,,,,,,,,,,,,,,,,,227,10298.578379089126,2941.8908060039726,1404.002634299463
,,,,,,,,,,,,,,,,,,,228,10265.602143254666,2931.8979703857526,1399.0061836435927
,,,,,,,,,,,,,,,,,,,229,10161.67703638243,2901.919463531092,1385.0161218071569
,,,,,,,,,,,,,,,,,,,230,10083.733206228253,2879.935225171009,1375.0232204954168
,,,,,,,,,,,,,,,,,,,231,9957.823942133044,2843.9610169454163,1357.0359981342851
,,,,,,,,,,,,,,,,,,,232,9965.818181123217,2845.9595840690604,1358.0352882654593
,,,,,,,,,,,,,,,,,,,233,10309.570457700614,2943.8893731276166,1406.001214561811
,,,,,,,,,,,,,,,,,,,234,11218.915142832684,3203.703099201337,1528.9139006962123
,,,,,,,,,,,,,,,,,,,235,11445.751674178815,3268.656530719767,1559.891894762606
,,,,,,,,,,,,,,,,,,,236,11214.918023337597,3202.703815639515,1528.9139006962123
,,,,,,,,,,,,,,,,,,,237,10806.21255496505,3085.7876389063404,1472.9536533504684
,,,,,,,,,,,,,,,,,,,238,10104.718083577454,2885.93092654194,1377.0218007577648
,,,,,,,,,,,,,,,,,,,239,9183.382039960128,2623.119349782754,1252.1105343610154
,,,,,,,,,,,,,,,,,,,240,8390.953100059323,2396.28198124916,1144.1872001942243
,,,,,,,,,,,,,,,,,,,241,7891.313163173572,2253.3844319086134,1075.2361811432186
,,,,,,,,,,,,,,,,,,,242,7652.485273342183,2185.4331497047174,1043.2588969456506
,,,,,,,,,,,,,,,,,,,243,7574.541443188005,2162.4496277828116,1032.2667055027366
,,,,,,,,,,,,,,,,,,,244,7621.507597255266,2177.438881210141,1039.2617364209545
,,,,,,,,,,,,,,,,,,,245,7878.322524814543,2250.386581223147,1074.2368910120445
,,,,,,,,,,,,,,,,,,,246,8672.75002446289,2477.2239497567416,1182.160225178836
,,,,,,,,,,,,,,,,,,,247,10072.741127616768,2876.9373744855425,1373.024640233069
,,,,,,,,,,,,,,,,,,,248,10752.251441781389,3070.7983854790104,1465.9586224322504
,,,,,,,,,,,,,,,,,,,249,10836.190951178196,3093.781907400917,1477.9501040063385
,,,,,,,,,,,,,,,,,,,250,10781.230558120762,3078.7926539735868,1469.9557829569465
,,,,,,,,,,,,,,,,,,,251,10714.278806578071,3059.8062662989682,1460.9621717763805
,,,,,,,,,,,,,,,,,,,252,10593.36594185172,3025.8306251970203,1443.9742395464227
,,,,,,,,,,,,,,,,,,,253,10428.484762679424,2977.8650142295646,1421.9898566605948
,,,,,,,,,,,,,,,,,,,254,10340.54813378753,2952.8829251840143,1409.998375086507
,,,,,,,,,,,,,,,,,,,255,10249.613665274323,2927.9008361384645,1397.007603381245
,,,,,,,,,,,,,,,,,,,256,10347.543092903932,2954.8814923076584,1410.9976652176808
,,,,,,,,,,,,,,,,,,,257,10775.234878878135,3077.7933704117645,1468.9564928257726
,,,,,,,,,,,,,,,,,,,258,11608.63429360357,3315.6228581254013,1582.875567779608
,,,,,,,,,,,,,,,,,,,259,11740.53923694141,3353.595633474637,1600.86279014074
,,,,,,,,,,,,,,,,,,,260,11447.750233926357,3268.656530719767,1560.89118489378
,,,,,,,,,,,,,,,,,,,261,10996.075730981638,3140.7482348065505,1498.9351967609923
,,,,,,,,,,,,,,,,,,,262,10250.612945148094,2927.9008361384645,1397.007603381245
,,,,,,,,,,,,,,,,,,,263,9257.328750619217,2644.104304581016,1262.1034356727555
,,,,,,,,,,,,,,,,,,,264,8417.933656651154,2404.2762497437357,1147.185070587746
,,,,,,,,,,,,,,,,,,,265,7866.331166329284,2247.3887305376816,1072.2383107496964
,,,,,,,,,,,,,,,,,,,266,7589.530641294577,2167.446045591921,1034.2652857650846
,,,,,,,,,,,,,,,,,,,267,7459.624257704282,2130.4725538045072,1017.2773535351267
,,,,,,,,,,,,,,,,,,,268,7468.617776568226,2132.4711209281513,1018.2766436663006
,,,,,,,,,,,,,,,,,,,269,7719.437024884873,2204.4195373793355,1052.2525081262165
,,,,,,,,,,,,,,,,,,,270,8501.87316604796,2427.2597716656414,1159.176552161834
,,,,,,,,,,,,,,,,,,,271,9885.875791221495,2822.976062147154,1348.042386953719
,,,,,,,,,,,,,,,,,,,272,10523.416350687716,3005.8449539605804,1434.9806283658565
