Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Subperiods,Hours_per_period,Sub_Weights_1,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18
,,,,,,,,,,84,2375.7996,8509.533371,5373.824325,13243.27987,3886.460727,13602.5898,16715.14482,12470.83734,6005.448061,2837.178071,4735.298842,20106.4416,2644.22897,3790.589388,7925.286239,17095.62245,13274.77396,27755.29026
,,,,,,,,,,85,2343.3876,8359.397718,5201.453161,12871.43103,3812.547852,13303.27685,16443.97682,12167.98143,5870.477816,2783.220499,4659.031335,19475.144,2644.106771,3703.014187,7748.90162,16721.93619,13187.55991,27650.94711
,,,,,,,,,,86,2263.438,8208.915001,5079.471228,12635.64201,3747.994809,13022.76309,16211.09038,11935.11649,5746.997971,2736.095751,4570.813113,18894.704,2689.599996,3668.73989,7635.161002,16465.56538,13106.77092,27902.12715
,,,,,,,,,,87,2110.0212,8029.394201,4942.180948,12353.40577,3655.706548,12780.5682,16209.25563,11668.55729,5682.051214,2668.723855,4560.707548,18813.9952,2728.609243,3725.836047,7598.827033,16434.37123,13153.02251,28708.22712
,,,,,,,,,,88,2214.82,7840.297587,4867.686813,12040.82987,3582.353884,12776.71741,16652.77247,11458.85799,5676.754479,2615.175245,4694.318797,19348.0,2860.726338,3848.303976,7841.871061,16793.55597,13424.25912,29850.36489
,,,,,,,,,,89,2524.8948,7839.400433,4936.936133,12035.26248,3600.445469,13081.44559,17261.17137,11497.0286,5838.074748,2628.382389,4887.362258,21107.0096,2888.938911,4016.071173,8236.518012,17911.9012,13940.06634,29813.72276
,,,,,,,,,,90,2806.8792,8278.705035,5374.794414,12904.55943,3793.822452,13419.99604,17862.6612,12227.17334,6049.706996,2769.550659,5064.134204,22224.7712,2905.624352,4013.182923,8175.857651,18178.89647,13867.1456,29563.81305
,,,,,,,,,,91,2885.7484,8485.628565,5551.690392,13441.85236,3927.531766,13530.53271,18237.17222,12600.26011,6190.716228,2867.160582,5176.596213,22799.6832,2859.25227,3963.553687,8075.791299,18195.34293,13681.35764,28893.09814
,,,,,,,,,,92,2939.7684,8535.060036,5614.657959,13530.66157,3940.94802,13325.42951,18030.00378,12764.17336,6197.847477,2876.954661,5110.946907,22830.64,2707.575457,3851.723746,7870.895484,17939.24455,13431.29877,27607.87635
,,,,,,,,,,93,2870.6228,8425.314799,5538.854689,13379.80679,3906.580463,12783.54069,17722.5971,12680.45915,6054.345001,2851.865798,5051.411471,22334.2256,2559.051986,3685.923636,7489.869789,17345.16482,12968.86825,26223.66472
,,,,,,,,,,94,2733.412,8189.806231,5343.82618,13002.39935,3757.146624,12190.69763,16977.40148,12407.37702,5842.24879,2742.776721,4815.688315,21447.5344,2384.595346,3520.327933,7129.065741,16740.11163,12270.39075,25366.88538
,,,,,,,,,,95,2667.5076,7740.294518,4988.486393,12101.77746,3535.052747,11550.35626,16410.89758,11793.24276,5532.073212,2580.644663,4652.548337,21082.6864,2287.161375,3427.254652,6994.956235,16237.42652,11626.00566,24911.39276
,,,,,,,,,,96,2590.7992,7735.034157,4903.71173,12017.83443,3508.443241,11618.26959,16881.58738,11788.33198,5575.008656,2561.219301,4797.597209,21016.3504,2237.508392,3323.641356,6844.735865,16305.1856,11242.6638,24659.35747
,,,,,,,,,,97,2570.2716,7154.297139,4513.118069,11050.83488,3245.048782,10797.35355,15867.16814,10935.84719,5212.764486,2368.937161,4494.825637,21069.4192,2239.825426,3260.82905,6754.140842,16348.32906,11020.02978,24595.35206
,,,,,,,,,,98,2621.0504,7010.771378,4437.109348,10789.52948,3174.975886,10655.13461,15893.90343,10766.71349,5152.198813,2317.782834,4502.721623,21307.1232,2305.103583,3292.744961,6761.342764,16329.76041,10883.62677,25133.16803
,,,,,,,,,,99,2608.0856,6909.914633,4383.331384,10588.23815,3131.425237,10593.77396,16155.7738,10634.99553,5135.440863,2285.990169,4578.011202,21501.7088,2344.062697,3337.507191,6904.846819,16711.2295,10900.09077,26404.07703
,,,,,,,,,,100,2636.176,6833.147167,4363.661337,10409.88989,3107.566855,10705.14277,16906.74804,10543.6886,5187.960182,2268.573171,4792.780592,22350.8096,2472.428798,3508.428245,7229.57733,17601.08448,11103.12352,28730.5332
,,,,,,,,,,101,2806.8792,6869.92215,4444.603916,10414.74226,3141.472041,11236.94973,18056.7591,10607.70003,5382.529808,2293.324495,5123.327826,24001.4704,2693.481384,3780.041201,7903.248231,18891.50671,11672.25412,29965.82708
,,,,,,,,,,102,3141.8032,7431.594094,4909.330302,11199.16103,3407.195841,12383.21186,18624.51309,11416.82317,5844.853297,2487.307091,5290.171763,25610.1184,2884.529267,4013.865789,8338.829736,19482.00894,12610.61122,29849.79502
