Time_Index,CT_NG,ME_NG,MA_NG,None
832,1.75,1.75,2.11,0
833,1.75,1.75,2.11,0
834,1.63,1.63,1.81,0
835,1.63,1.63,1.81,0
836,1.63,1.63,1.81,0
837,2.78,2.78,2.74,0
838,2.78,2.78,2.74,0
839,3.78,3.78,4.28,0
840,3.78,3.78,4.28,0
841,5.45,5.45,5.28,0
842,5.45,5.45,5.28,0
843,4.09,4.09,3.98,0
844,4.09,4.09,3.98,0
845,3.14,3.14,3.69,0
846,3.14,3.14,3.69,0
847,2.13,2.13,3.18,0
848,2.13,2.13,3.18,0
849,2.13,2.13,3.18,0
850,2.13,2.13,3.18,0
851,1.82,1.82,2.23,0
852,1.82,1.82,2.23,0
853,1.82,1.82,2.23,0
854,1.82,1.82,2.23,0
855,1.75,1.75,2.11,0
856,1.75,1.75,2.11,0
857,1.75,1.75,2.11,0
858,1.63,1.63,1.81,0
859,1.63,1.63,1.81,0
860,1.63,1.63,1.81,0
861,2.78,2.78,2.74,0
862,2.78,2.78,2.74,0
863,3.78,3.78,4.28,0
864,3.78,3.78,4.28,0
