,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t994,15443.298900518432,0.0007637921448822641,-0.0009025369466233341,0.0,-0.0,0.0,-4.5904313508871294e-7,0.0,0.0,-15443.298761321787
t995,16716.114035819428,0.000763759165278271,-0.0009026861957840197,0.0,-0.0,0.0,-4.5904518344261365e-7,0.0,0.0,-16716.11389644096
t996,17742.794113840388,0.0007642089151057572,-0.0009022649430734826,0.0,-0.0,0.0,-4.5903217728423806e-7,0.0,0.0,-17742.79397533317
t997,18329.878897013572,0.0007644627008872589,-0.0009017732151309401,0.0,-0.0,0.0,-4.590274339166358e-7,0.0,0.0,-18329.878759251947
t998,18442.8903240369,0.0007641810707458967,-0.0009019204631062744,0.0,-0.0,0.0,-4.5902531721228356e-7,0.0,0.0,-18442.89018584643
t999,18453.425288092443,0.000763875697860775,-0.0009021745732313436,0.0,-0.0,0.0,-4.590266971890218e-7,0.0,0.0,-18453.425149342525
t1000,18480.241558802587,0.0007638420903157706,-0.0009021336739264568,0.0,-0.0,0.0,-4.5902571819180567e-7,0.0,0.0,-18480.241420059854
t1001,18514.719620731874,0.000763983647397646,-0.0009018534656729754,0.0,-0.0,0.0,-4.590234846832105e-7,0.0,0.0,-18514.719482410714
t1002,18505.142380806108,0.0007641030743492525,-0.0009015888875710257,0.0,-0.0,0.0,-4.590223202677202e-7,0.0,0.0,-18505.14224286881
t1003,18205.374783622166,0.0007638309178675519,-0.0009017943180978715,0.0,-0.0,0.0,-4.59022362661375e-7,0.0,0.0,-18205.374645207183
t1004,17943.916144621595,0.0007636575431925362,-0.0009021144458150567,0.0,-0.0,0.0,-4.590452451413533e-7,0.0,0.0,-17943.916005713178
t1005,18004.252752446675,0.0007643056973505181,-0.0009014737927848556,0.0,-0.0,0.0,-4.5903935878430313e-7,0.0,0.0,-18004.252614827175
t1006,17353.00046391714,0.0007642408801515448,-0.0009017288178990832,0.0,-0.0,0.0,-4.590298983356737e-7,0.0,0.0,-17353.00032597764
t1007,15995.905621430527,0.0007641030973618158,-0.0009021919497235287,0.0,-0.0,0.0,-4.5902862670409253e-7,0.0,0.0,-15995.905482889706
t1008,14587.09368373432,0.0007642223850837037,-0.0009012288399221593,0.0,-0.0,0.0,-4.5903010062500835e-7,0.0,0.0,-14587.09354627548
t1009,14170.000382713246,0.002124396900016926,-0.0025067557456657703,0.0,-0.0,0.0,-3.60548276263494e-7,0.0,0.0,-14170.0
t1010,13491.000385477242,0.00212301920168298,-0.002508142564736739,0.0,-0.0,0.0,-3.605473322274773e-7,0.0,0.0,-13491.0
t1011,13056.000386088968,0.002122761479428437,-0.0025084970853205364,0.0,-0.0,0.0,-3.6054597121045844e-7,0.0,0.0,-13056.0
t1012,12827.000386743028,0.0021225037701458646,-0.0025088944755654063,0.0,-0.0,0.0,-3.60545293648559e-7,0.0,0.0,-12827.0
t1013,12915.000387045775,0.0021223618668383673,-0.002509054866422216,0.0,-0.0,0.0,-3.6054634024408837e-7,0.0,0.0,-12915.0
t1014,13504.000387252187,0.0021223745994029823,-0.0025092732233305713,0.0,-0.0,0.0,-3.605493805584552e-7,0.0,0.0,-13504.0
t1015,14917.000386033154,0.002123055761337358,-0.0025087348733238203,0.0,-0.0,0.0,-3.605536793365269e-7,0.0,0.0,-14917.0
t1016,16790.000382204173,0.002124803608759059,-0.0025066531968864444,0.0,-0.0,0.0,-3.6055385314848904e-7,0.0,0.0,-16790.0
t1017,18245.000373600305,0.0021275969332322695,-0.002500841867846176,0.0,-0.0,0.0,-3.6055410810447263e-7,0.0,0.0,-18245.0
t1018,19414.00036552734,0.0021282359805260835,-0.0024934055969456134,0.0,-0.0,0.0,-3.6055628699989415e-7,0.0,0.0,-19414.0
