,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t203,62380.33394035203,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-15199.139529675895
t204,15064.256021112722,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15064.256021112722
t205,14777.992459773617,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14777.992459773617
t206,14556.74469033187,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14556.74469033187
t207,14292.79998292768,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14292.79998292768
t208,60097.4680907372,0.0,-45898.795448317636,0.0,-0.0,0.0,0.0,0.0,0.0,-14198.672642419566
t209,36274.623414547896,0.0,-21737.28642328986,0.0,-0.0,0.0,0.0,0.0,0.0,-14537.336991258033
t210,15213.596927736253,520.2247114238645,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15733.821639160118
t211,9780.301373477958,6452.298131879787,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16232.599505357748
t212,8229.147125315883,7698.751504582614,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15927.898629898496
t213,7370.8364461875935,7991.327755708538,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15362.16420189613
t214,8134.163954548505,6245.000289257751,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14379.164243806257
t215,5788.2894764278235,7298.322009060854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13086.611485488676
t216,5503.029671540896,6409.4160199806065,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11912.445691521501
t217,8900.69665553672,2261.6414667809595,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11162.33812231768
t218,9535.807006026705,1242.2586746289887,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10778.065680655694
t219,9395.24064951253,1242.1192128578423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10637.359862370373
t220,8615.936673066843,2017.5416494887627,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10633.478322555606
t221,5668.710714080275,5291.787337869494,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10960.498051949768
t222,6006.904625294055,5969.58647317111,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11976.491098465165
t223,4995.921899764615,8834.97484520573,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13830.896744970345
t224,4717.596073431791,9990.528669676014,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14708.124743107805
t225,14765.377455375625,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14765.377455375625
t226,14718.798977598415,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14718.798977598415
t227,49907.41611469683,0.0,-35214.81753084809,0.0,-0.0,0.0,0.0,0.0,0.0,-14692.598583848734
t228,22246.74817265664,0.0,-7681.270017741542,0.0,-0.0,0.0,0.0,0.0,0.0,-14565.478154915098
t229,14397.601557926402,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14397.601557926402
t230,61449.73476976152,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-14268.540359085384
t231,14108.426841726223,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14108.426841726223
t232,14030.796045430872,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14030.796045430872
t233,25900.344510127135,0.0,-11574.55143877393,0.0,-0.0,0.0,0.0,0.0,0.0,-14325.793071353204
