Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,unmet,Total
t603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4621.320907324348,0.0,0.0,0.0,0.0,4621.320907324348
t604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3373.8543913842677,0.0,0.0,0.0,0.0,3373.8543913842677
t605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.97845575,0.0,0.0,0.0,0.0,1405.97845575
t606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.3007286400002,0.0,0.0,0.0,0.0,1488.3007286400002
t607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.2946144900002,0.0,0.0,0.0,0.0,1512.2946144900002
t608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.9651777000001,0.0,0.0,0.0,0.0,1521.9651777000001
t609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519.50234942,0.0,0.0,0.0,0.0,1519.50234942
t610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.6159826800001,0.0,0.0,0.0,0.0,1512.6159826800001
t611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7435.966696082602,0.0,0.0,0.0,0.0,7435.966696082602
t612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7765.917809564483,0.0,0.0,0.0,0.0,7765.917809564483
t613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7765.917809564483,0.0,0.0,0.0,0.0,7765.917809564483
t614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7509.415619165703,0.0,0.0,0.0,0.0,7509.415619165703
t615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0245305,0.0,0.0,0.0,0.0,1490.0245305
t616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532.27379426,0.0,0.0,0.0,0.0,1532.27379426
t617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.93746994,0.0,0.0,0.0,0.0,1584.93746994
t618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.5169343900002,0.0,0.0,0.0,0.0,1589.5169343900002
t619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.02564529,0.0,0.0,0.0,0.0,1584.02564529
t620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.47014668,0.0,0.0,0.0,0.0,1554.47014668
t621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.8923933900003,0.0,0.0,0.0,0.0,1505.8923933900003
t622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.1992910200001,0.0,0.0,0.0,0.0,1446.1992910200001
t623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.99221985,0.0,0.0,0.0,0.0,1392.99221985
t624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.04458002,0.0,0.0,0.0,0.0,1354.04458002
t625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.6921480500002,0.0,0.0,0.0,0.0,1342.6921480500002
t626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5819.835786191928,0.0,0.0,0.0,0.0,5819.835786191928
t627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5819.835786191928,0.0,0.0,0.0,0.0,5819.835786191928
t628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5819.835786191927,0.0,0.0,0.0,0.0,5819.835786191927
t629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.62055485,0.0,0.0,0.0,0.0,1477.62055485
t630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.20829521,0.0,0.0,0.0,0.0,1564.20829521
t631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.25106286,0.0,0.0,0.0,0.0,1599.25106286
t632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614.7486396800002,0.0,0.0,0.0,0.0,1614.7486396800002
t633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608.6754761,0.0,0.0,0.0,0.0,1608.6754761
t634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.66760343,0.0,0.0,0.0,0.0,1594.66760343
t635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.6565400700001,0.0,0.0,0.0,0.0,1572.6565400700001
t636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.6409853300001,0.0,0.0,0.0,0.0,1558.6409853300001
t637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.73257341,0.0,0.0,0.0,0.0,1537.73257341
t638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4781.015599788089,0.0,0.0,0.0,0.0,4781.015599788089
t639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6144.899998414367,0.0,0.0,0.0,0.0,6144.899998414367
t640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6144.899998414367,0.0,0.0,0.0,0.0,6144.899998414367
t641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.18542869,0.0,0.0,0.0,0.0,1613.18542869
t642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.7818897900002,0.0,0.0,0.0,0.0,1617.7818897900002
t643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608.7122249000001,0.0,0.0,0.0,0.0,1608.7122249000001
t644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.93119625,0.0,0.0,0.0,0.0,1590.93119625
t645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.80548539,0.0,0.0,0.0,0.0,1557.80548539
t646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.4883727500003,0.0,0.0,0.0,0.0,1504.4883727500003
t647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.0697319600001,0.0,0.0,0.0,0.0,1453.0697319600001
t648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.1596524000001,0.0,0.0,0.0,0.0,1414.1596524000001
