Time_Index,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
346,1.0,1.0,1.0,1.0,0.5191,1.0,1.0
347,1.0,1.0,1.0,1.0,0.6164,1.0,1.0
348,1.0,1.0,1.0,1.0,0.6094,1.0,1.0
349,1.0,1.0,1.0,1.0,0.6213,1.0,1.0
350,1.0,1.0,1.0,1.0,0.5855,1.0,1.0
351,1.0,1.0,1.0,1.0,0.5484,1.0,1.0
352,1.0,1.0,1.0,1.0,0.4324,1.0,1.0
353,1.0,1.0,1.0,1.0,0.2942,1.0,1.0
354,1.0,1.0,1.0,1.0,0.1239,1.0,1.0
355,1.0,1.0,1.0,1.0,0.0042,1.0,1.0
356,1.0,1.0,1.0,1.0,0.0,1.0,1.0
357,1.0,1.0,1.0,1.0,0.0,1.0,1.0
358,1.0,1.0,1.0,1.0,0.0,1.0,1.0
359,1.0,1.0,1.0,1.0,0.0,1.0,1.0
360,1.0,1.0,1.0,1.0,0.0,1.0,1.0
361,1.0,1.0,1.0,1.0,0.0,1.0,1.0
362,1.0,1.0,1.0,1.0,0.0,1.0,1.0
363,1.0,1.0,1.0,1.0,0.0,1.0,1.0
364,1.0,1.0,1.0,1.0,0.0,1.0,1.0
365,1.0,1.0,1.0,1.0,0.0,1.0,1.0
366,1.0,1.0,1.0,1.0,0.0,1.0,1.0
367,1.0,1.0,1.0,1.0,0.0596,1.0,1.0
368,1.0,1.0,1.0,1.0,0.2421,1.0,1.0
369,1.0,1.0,1.0,1.0,0.4408,1.0,1.0
370,1.0,1.0,1.0,1.0,0.5842,1.0,1.0
371,1.0,1.0,1.0,1.0,0.6896,1.0,1.0
372,1.0,1.0,1.0,1.0,0.6858,1.0,1.0
373,1.0,1.0,1.0,1.0,0.6341,1.0,1.0
374,1.0,1.0,1.0,1.0,0.5742,1.0,1.0
375,1.0,1.0,1.0,1.0,0.5271,1.0,1.0
376,1.0,1.0,1.0,1.0,0.4501,1.0,1.0
377,1.0,1.0,1.0,1.0,0.3211,1.0,1.0
378,1.0,1.0,1.0,1.0,0.1502,1.0,1.0
379,1.0,1.0,1.0,1.0,0.0118,1.0,1.0
380,1.0,1.0,1.0,1.0,0.0,1.0,1.0
381,1.0,1.0,1.0,1.0,0.0,1.0,1.0
382,1.0,1.0,1.0,1.0,0.0,1.0,1.0
383,1.0,1.0,1.0,1.0,0.0,1.0,1.0
384,1.0,1.0,1.0,1.0,0.0,1.0,1.0
385,1.0,1.0,1.0,1.0,0.0,1.0,1.0
386,1.0,1.0,1.0,1.0,0.0,1.0,1.0
387,1.0,1.0,1.0,1.0,0.0,1.0,1.0
388,1.0,1.0,1.0,1.0,0.0,1.0,1.0
389,1.0,1.0,1.0,1.0,0.0,1.0,1.0
390,1.0,1.0,1.0,1.0,0.0,1.0,1.0
391,1.0,1.0,1.0,1.0,0.0674,1.0,1.0
392,1.0,1.0,1.0,1.0,0.2425,1.0,1.0
393,1.0,1.0,1.0,1.0,0.4158,1.0,1.0
394,1.0,1.0,1.0,1.0,0.5463,1.0,1.0
395,1.0,1.0,1.0,1.0,0.6386,1.0,1.0
396,1.0,1.0,1.0,1.0,0.6422,1.0,1.0
397,1.0,1.0,1.0,1.0,0.619,1.0,1.0
398,1.0,1.0,1.0,1.0,0.535,1.0,1.0
399,1.0,1.0,1.0,1.0,0.4947,1.0,1.0
400,1.0,1.0,1.0,1.0,0.436,1.0,1.0
401,1.0,1.0,1.0,1.0,0.31,1.0,1.0
402,1.0,1.0,1.0,1.0,0.141,1.0,1.0
403,1.0,1.0,1.0,1.0,0.0057,1.0,1.0
404,1.0,1.0,1.0,1.0,0.0,1.0,1.0
405,1.0,1.0,1.0,1.0,0.0,1.0,1.0
406,1.0,1.0,1.0,1.0,0.0,1.0,1.0
407,1.0,1.0,1.0,1.0,0.0,1.0,1.0
408,1.0,1.0,1.0,1.0,0.0,1.0,1.0
409,1.0,1.0,1.0,1.0,0.0,1.0,1.0
410,1.0,1.0,1.0,1.0,0.0,1.0,1.0
411,1.0,1.0,1.0,1.0,0.0,1.0,1.0
412,1.0,1.0,1.0,1.0,0.0,1.0,1.0
413,1.0,1.0,1.0,1.0,0.0,1.0,1.0
414,1.0,1.0,1.0,1.0,0.0,1.0,1.0
415,1.0,1.0,1.0,1.0,0.0646,1.0,1.0
416,1.0,1.0,1.0,1.0,0.24,1.0,1.0
417,1.0,1.0,1.0,1.0,0.4124,1.0,1.0
418,1.0,1.0,1.0,1.0,0.5387,1.0,1.0
419,1.0,1.0,1.0,1.0,0.5942,1.0,1.0
420,1.0,1.0,1.0,1.0,0.5769,1.0,1.0
421,1.0,1.0,1.0,1.0,0.5447,1.0,1.0
422,1.0,1.0,1.0,1.0,0.5418,1.0,1.0
423,1.0,1.0,1.0,1.0,0.534,1.0,1.0
424,1.0,1.0,1.0,1.0,0.4351,1.0,1.0
425,1.0,1.0,1.0,1.0,0.2974,1.0,1.0
426,1.0,1.0,1.0,1.0,0.1269,1.0,1.0
427,1.0,1.0,1.0,1.0,0.0095,1.0,1.0
428,1.0,1.0,1.0,1.0,0.0,1.0,1.0
429,1.0,1.0,1.0,1.0,0.0,1.0,1.0
430,1.0,1.0,1.0,1.0,0.0,1.0,1.0
431,1.0,1.0,1.0,1.0,0.0,1.0,1.0
432,1.0,1.0,1.0,1.0,0.0,1.0,1.0
433,1.0,1.0,1.0,1.0,0.0,1.0,1.0
434,1.0,1.0,1.0,1.0,0.0,1.0,1.0
435,1.0,1.0,1.0,1.0,0.0,1.0,1.0
436,1.0,1.0,1.0,1.0,0.0,1.0,1.0
437,1.0,1.0,1.0,1.0,0.0,1.0,1.0
438,1.0,1.0,1.0,1.0,0.0,1.0,1.0
439,1.0,1.0,1.0,1.0,0.0702,1.0,1.0
440,1.0,1.0,1.0,1.0,0.2614,1.0,1.0
441,1.0,1.0,1.0,1.0,0.4627,1.0,1.0
442,1.0,1.0,1.0,1.0,0.6166,1.0,1.0
443,1.0,1.0,1.0,1.0,0.7112,1.0,1.0
444,1.0,1.0,1.0,1.0,0.716,1.0,1.0
445,1.0,1.0,1.0,1.0,0.7297,1.0,1.0
446,1.0,1.0,1.0,1.0,0.7274,1.0,1.0
447,1.0,1.0,1.0,1.0,0.6825,1.0,1.0
