Time_Index,ng,coal,biomass,nuclear,None
626,3.6,1.95,1.02,0.66,0
627,3.6,1.95,1.02,0.66,0
628,3.6,1.95,1.02,0.66,0
629,3.6,1.95,1.02,0.66,0
630,3.6,1.95,1.02,0.66,0
631,3.6,1.95,1.02,0.66,0
632,3.6,1.95,1.02,0.66,0
633,3.6,1.95,1.02,0.66,0
634,3.6,1.95,1.02,0.66,0
635,3.6,1.95,1.02,0.66,0
636,3.6,1.95,1.02,0.66,0
637,3.6,1.95,1.02,0.66,0
638,3.6,1.95,1.02,0.66,0
639,3.6,1.95,1.02,0.66,0
640,3.6,1.95,1.02,0.66,0
641,3.6,1.95,1.02,0.66,0
642,3.6,1.95,1.02,0.66,0
643,3.6,1.95,1.02,0.66,0
644,3.6,1.95,1.02,0.66,0
645,3.6,1.95,1.02,0.66,0
646,3.6,1.95,1.02,0.66,0
647,3.6,1.95,1.02,0.66,0
648,3.6,1.95,1.02,0.66,0
649,3.6,1.95,1.02,0.66,0
650,3.6,1.95,1.02,0.66,0
651,3.6,1.95,1.02,0.66,0
652,3.6,1.95,1.02,0.66,0
653,3.6,1.95,1.02,0.66,0
654,3.6,1.95,1.02,0.66,0
655,3.6,1.95,1.02,0.66,0
656,3.6,1.95,1.02,0.66,0
657,3.6,1.95,1.02,0.66,0
658,3.6,1.95,1.02,0.66,0
659,3.6,1.95,1.02,0.66,0
660,3.6,1.95,1.02,0.66,0
661,3.6,1.95,1.02,0.66,0
662,3.6,1.95,1.02,0.66,0
663,3.6,1.95,1.02,0.66,0
664,3.6,1.95,1.02,0.66,0
665,3.6,1.95,1.02,0.66,0
666,3.6,1.95,1.02,0.66,0
667,3.6,1.95,1.02,0.66,0
668,3.6,1.95,1.02,0.66,0
669,3.6,1.95,1.02,0.66,0
670,3.6,1.95,1.02,0.66,0
671,3.6,1.95,1.02,0.66,0
672,3.6,1.95,1.02,0.66,0
673,3.6,1.95,1.02,0.66,0
674,3.6,1.95,1.02,0.66,0
675,3.6,1.95,1.02,0.66,0
676,3.6,1.95,1.02,0.66,0
677,3.6,1.95,1.02,0.66,0
678,3.6,1.95,1.02,0.66,0
679,3.6,1.95,1.02,0.66,0
680,3.6,1.95,1.02,0.66,0
681,3.6,1.95,1.02,0.66,0
682,3.6,1.95,1.02,0.66,0
683,3.6,1.95,1.02,0.66,0
684,3.6,1.95,1.02,0.66,0
685,3.6,1.95,1.02,0.66,0
686,3.6,1.95,1.02,0.66,0
687,3.6,1.95,1.02,0.66,0
688,3.6,1.95,1.02,0.66,0
689,3.6,1.95,1.02,0.66,0
690,3.6,1.95,1.02,0.66,0
691,3.6,1.95,1.02,0.66,0
692,3.6,1.95,1.02,0.66,0
