Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery,Total
t111,0.0,0.0,-1.4210854715202004e-14,4455.1093660214965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4706.91989390005
t112,0.0,0.0,1.4210854715202004e-14,4290.708611987922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4542.519139866476
t113,0.0,0.0,0.0,3500.1630739898346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3751.9736018683884
t114,0.0,0.0,0.0,2314.6126158375982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2566.423143716152
t115,0.0,0.0,0.0,2359.8694968102727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2611.6800246888265
t116,0.0,0.0,0.0,2751.6279905081374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3003.438518386691
t117,0.0,0.0,0.0,3409.6942019215976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3661.5047298001514
t118,0.0,0.0,0.0,4463.662458864934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4715.472986743487
t119,0.0,0.0,0.0,5847.688598937444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6099.499126815997
t120,577.4507182282578,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7331.378385158989
t121,1407.2699738093625,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8161.197640740093
t122,1881.5911969745748,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8635.518863905307
t123,2098.9345023675514,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8852.862169298283
t124,2176.12309167684,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8930.050758607571
t125,1897.833810167347,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8651.761477098078
t126,945.126563988124,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7699.054230918855
t127,0.0,0.0,0.0,5636.888385113643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5888.698912992197
t128,0.0,0.0,0.0,4401.961848296243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4653.772376174797
t129,0.0,0.0,0.0,4019.4499968188293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4271.260524697383
t130,0.0,0.0,2.220446049250313e-16,3770.8124441363707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4022.6229720149245
t131,0.0,0.0,0.0,3636.6087957989384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3888.4193236774922
t132,0.0,0.0,7.105427357601002e-15,3602.303943983119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3854.114471861673
t133,0.0,0.0,0.0,3698.7759964107954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3950.586524289349
t134,0.0,0.0,7.105427357601002e-15,3832.7299191137163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4084.54044699227
t135,0.0,0.0,0.0,4032.57141064593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4284.381938524483
