,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1434,11552.129418493365,3420.8570883534658,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14972.986506846832
t1435,10988.225802600095,4230.617353724912,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15218.843156325007
t1436,10279.443281208838,5361.471376366258,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15640.914657575095
t1437,9674.873896144301,5340.31976082754,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15015.193656971842
t1438,9519.067188236591,4387.133599200647,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13906.20078743724
t1439,9687.079828943577,2800.9607142933683,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12488.040543236946
t1440,10313.913664776861,873.0914758566933,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11187.005140633553
t1441,10308.041239280248,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10308.041239280248
t1442,10661.773852838323,0.0,-863.3839513175552,0.0,-0.0,0.0,0.0,0.0,0.0,-9798.389901520768
t1443,11197.416278128247,794.3132352121509,-2467.6860876321866,0.0,-0.0,0.0,0.0,0.0,0.0,-9524.04342570821
t1444,13081.989605480363,1698.7126911159062,-5323.135132334947,0.0,-0.0,0.0,0.0,0.0,0.0,-9457.567164261322
t1445,13912.930037493896,1400.3673167060392,-5621.480506744814,0.0,-0.0,0.0,0.0,0.0,0.0,-9691.81684745512
t1446,14413.371253124971,1609.6770558765336,-5412.17076757432,0.0,-0.0,0.0,0.0,0.0,0.0,-10610.877541427184
t1447,17048.37327918043,1226.0092393646228,-5795.838584086231,0.0,-0.0,0.0,0.0,0.0,0.0,-12478.54393445882
t1448,18140.27769750129,1275.7054363433776,-5746.142387107476,0.0,-0.0,0.0,0.0,0.0,0.0,-13669.84074673719
t1449,18135.534504098705,1557.1718132462893,-5464.676010204565,0.0,-0.0,0.0,0.0,0.0,0.0,-14228.030307140429
t1450,17328.945719522588,2124.018912268757,-4897.828911182097,0.0,-0.0,0.0,0.0,0.0,0.0,-14555.135720609247
t1451,16884.408052704777,2471.854017299563,-4549.99380615129,0.0,-0.0,0.0,0.0,0.0,0.0,-14806.26826385305
t1452,19710.344044776633,1115.338084555833,-5906.509738895021,0.0,-0.0,0.0,0.0,0.0,0.0,-14919.172390437445
t1453,15474.822417700363,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-14890.682564103066
t1454,9412.106731645072,6250.739417330986,-771.1084061198674,0.0,-0.0,0.0,0.0,0.0,0.0,-14891.73774285619
t1455,9557.369810203474,6102.662597203333,-919.1852262475209,0.0,-0.0,0.0,0.0,0.0,0.0,-14740.847181159286
t1456,9280.006892451507,6201.247263460557,-820.6005599902957,0.0,-0.0,0.0,0.0,0.0,0.0,-14660.653595921769
t1457,14039.251226976823,3851.697690661967,-3170.1501327888864,0.0,-0.0,0.0,0.0,0.0,0.0,-14720.798784849907
t1458,17980.54704519876,1952.8019367635138,-5069.04588668734,0.0,-0.0,0.0,0.0,0.0,0.0,-14864.303095274936
t1459,20748.310531183557,683.4070884852031,-6338.44073496565,0.0,-0.0,0.0,0.0,0.0,0.0,-15093.27688470311
t1460,21220.366420183153,413.08583450883594,-6608.7619889420175,0.0,-0.0,0.0,0.0,0.0,0.0,-15024.690265749969
t1461,20805.112696522912,295.19005099982553,-6726.657772451028,0.0,-0.0,0.0,0.0,0.0,0.0,-14373.64497507171
t1462,14085.151999834456,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-13501.012146237155
t1463,12961.386627756096,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-12377.246774158799
t1464,4189.42642850458,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11211.274251955434
t1465,3291.4693095950192,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10313.317133045872
t1466,2763.8799330324096,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9785.727756483264
t1467,5394.919103854319,5553.327318836742,-1468.5205046141111,0.0,-0.0,0.0,0.0,0.0,0.0,-9479.72591807695
t1468,16355.959073596523,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-9334.111250145672
t1469,2340.7532530291987,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9362.601076480052
t1470,11692.977462458277,2528.8092324035383,-4493.038591047314,0.0,-0.0,0.0,0.0,0.0,0.0,-9728.748103814503
t1471,9614.339913018537,3913.699048771918,-3108.1487746789353,0.0,-0.0,0.0,0.0,0.0,0.0,-10419.89018711152
t1472,18316.48119690318,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-11294.633373452327
t1473,16270.486574158795,1542.6728472863624,-5479.174976164491,0.0,-0.0,0.0,0.0,0.0,0.0,-12333.984445280665
t1474,6044.430676498711,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13066.278499949565
t1475,18900.77345956279,779.3878924688515,-6242.459930982002,0.0,-0.0,0.0,0.0,0.0,0.0,-13437.701421049642
t1476,16445.59194200175,2041.799550102506,-4980.048273348348,0.0,-0.0,0.0,0.0,0.0,0.0,-13507.343218755906
t1477,16323.445215256701,2059.082995220333,-4962.764828230521,0.0,-0.0,0.0,0.0,0.0,0.0,-13419.763382246514
t1478,18007.9337772767,1109.2104813915605,-5912.637342059293,0.0,-0.0,0.0,0.0,0.0,0.0,-13204.506916608969
t1479,20053.305424547285,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-13031.457601096432
t1480,19786.484922962103,83.2892600191446,-6938.5585634317085,0.0,-0.0,0.0,0.0,0.0,0.0,-12931.215619549539
t1481,13636.701029756236,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-13052.561176158937
t1482,6327.21858233627,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13349.066405787124
t1483,12145.385495390821,4333.296726326749,-2688.551097124105,0.0,-0.0,0.0,0.0,0.0,0.0,-13790.131124593465
t1484,6887.518500245761,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13909.366323696615
t1485,6422.18467011754,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13444.032493568393
t1486,19764.186446190975,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-12742.338622740124
t1487,4784.547245267202,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11806.395068718055
t1488,17800.49878662495,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-10778.650963174094
t1489,2955.9224661011995,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9977.770289552052
t1490,16488.911596490303,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-9467.063773039448
t1491,2153.986613726035,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9175.834437176889
t1492,10781.449680544729,2632.6710091930545,-4389.176814257799,0.0,-0.0,0.0,0.0,0.0,0.0,-9024.943875479985
