Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2759.0639820999013
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2034.7909378750392
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1761.840562878008
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1761.840562878008
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1761.840562878008
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1761.840562878008
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2546.1350613615714
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2546.1350613615714
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2546.1350613615714
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2546.1350613615714
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2546.1350613615714
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2546.1350613615714
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3434.0086302843906
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3434.0086302843906
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3434.0086302843906
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3434.0086302843906
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3434.0086302843906
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3434.0086302843906
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3434.0086302843906
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4081.7254164188466
t166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
t167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
t168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
